,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kolkata Knight Riders,0.0,0.5,0.38461538461538464,0.45,0.5185185185185185,0.5588235294117647,0.5,0.5272727272727272,0.5396825396825397,0.5507246376811594,0.5641025641025641,0.5632183908045977,0.5760869565217391
Chennai Super Kings,0.0,0.6,0.5833333333333334,0.5909090909090909,0.6451612903225806,0.631578947368421,0.6739130434782609,0.6607142857142857,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6493506493506493,0.6404494382022472
Rajasthan Royals,0.0,0.8181818181818182,0.7333333333333333,0.6666666666666666,0.6428571428571429,0.5526315789473685,0.5510204081632653,0.543859649122807,0.5396825396825397,0.5396825396825397,0.5396825396825397,0.5362318840579711,0.525
Mumbai Indians,0.0,0.5,0.5,0.5652173913043478,0.5517241379310345,0.55,0.5769230769230769,0.5689655172413793,0.5538461538461539,0.5540540540540541,0.5647058823529412,0.5555555555555556,0.5714285714285714
Deccan Chargers,0.0,0.2222222222222222,0.47368421052631576,0.5,0.5,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.4418604651162791
Kings XI Punjab,0.0,0.5,0.5714285714285714,0.42105263157894735,0.41379310344827586,0.43243243243243246,0.45454545454545453,0.49019607843137253,0.4482758620689655,0.40625,0.4117647058823529,0.4266666666666667,0.43209876543209874
Royal Challengers Bangalore,0.0,0.2,0.46153846153846156,0.42105263157894735,0.52,0.5161290322580645,0.5555555555555556,0.5111111111111111,0.5272727272727272,0.5409836065573771,0.5,0.5064935064935064,0.5061728395061729
Delhi Daredevils,0.0,0.3333333333333333,0.5333333333333333,0.5652173913043478,0.5,0.5,0.44680851063829785,0.4117647058823529,0.4107142857142857,0.4375,0.4583333333333333,0.4375,0.4375
Kochi Tuskers Kerala,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Pune Warriors,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Sunrisers Hyderabad,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.35,0.4666666666666667,0.4857142857142857,0.5,0.5
Rising Pune Supergiants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
Gujarat Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666
Rising Pune Supergiant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
Delhi Capitals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
